breed,coat_type,coat_length,size,shedding,grooming_frequency,matting_risk,heat_sensitivity,moisture_sensitivity,double_coat,clipping_risk,style,season,price,maintenance_level,season_fit,clip_intensity,undercoat_safe,base_popularity,coat_compatible,size_compatible,expert_score
Aspin,single,short,medium,medium,low,0.2,0.45,0.35,0,0.1,De-shedding Treatment,dry,700.0,0.3,0.9,0.05,1,0.9,1,1,88.735
Labrador Retriever,double,short,large,high,medium,0.2,0.75,0.55,1,0.9,Puppy Cut,rainy,800.0,0.35,0.82,0.65,1,0.82,0,0,12.752499999999998
Labrador Retriever,double,short,large,high,medium,0.2,0.75,0.55,1,0.9,Puppy Cut,dry,800.0,0.35,0.78,0.65,1,0.82,0,0,11.994999999999997
Labrador Retriever,double,short,large,high,medium,0.2,0.75,0.55,1,0.9,Teddy Bear Cut,rainy,800.0,0.65,0.58,0.55,1,0.78,0,0,5.0
Labrador Retriever,double,short,large,high,medium,0.2,0.75,0.55,1,0.9,Teddy Bear Cut,dry,800.0,0.65,0.62,0.55,1,0.78,0,0,6.3549999999999995
Labrador Retriever,double,short,large,high,medium,0.2,0.75,0.55,1,0.9,Feathered Trim,rainy,1100.0,0.78,0.42,0.25,1,0.64,1,1,68.911
Labrador Retriever,double,short,large,high,medium,0.2,0.75,0.55,1,0.9,Feathered Trim,dry,1100.0,0.78,0.55,0.25,1,0.64,1,1,73.45750000000001
Labrador Retriever,double,short,large,high,medium,0.2,0.75,0.55,1,0.9,Lamb Cut,rainy,800.0,0.58,0.52,0.6,1,0.68,0,1,19.541000000000004
Labrador Retriever,double,short,large,high,medium,0.2,0.75,0.55,1,0.9,Lamb Cut,dry,800.0,0.58,0.6,0.6,1,0.68,0,1,21.990000000000002
Labrador Retriever,double,short,large,high,medium,0.2,0.75,0.55,1,0.9,Lion Cut,rainy,1200.0,0.72,0.4,0.85,0,0.5,0,1,5.0
Labrador Retriever,double,short,large,high,medium,0.2,0.75,0.55,1,0.9,Lion Cut,dry,1200.0,0.72,0.48,0.85,0,0.5,0,1,5.0
Labrador Retriever,double,short,large,high,medium,0.2,0.75,0.55,1,0.9,Summer Cut,rainy,750.0,0.25,0.48,0.9,0,0.74,0,1,5.0
Labrador Retriever,double,short,large,high,medium,0.2,0.75,0.55,1,0.9,Summer Cut,dry,750.0,0.25,0.88,0.9,0,0.74,0,1,5.0
Labrador Retriever,double,short,large,high,medium,0.2,0.75,0.55,1,0.9,Sanitary Trim,rainy,800.0,0.18,0.95,0.2,1,0.85,1,1,92.61099999999999
Labrador Retriever,double,short,large,high,medium,0.2,0.75,0.55,1,0.9,Sanitary Trim,dry,800.0,0.18,0.82,0.2,1,0.85,1,1,86.965
Labrador Retriever,double,short,large,high,medium,0.2,0.75,0.55,1,0.9,Show Cut,rainy,1500.0,0.95,0.32,0.45,1,0.42,1,1,59.4225
Labrador Retriever,double,short,large,high,medium,0.2,0.75,0.55,1,0.9,Show Cut,dry,1500.0,0.95,0.45,0.45,1,0.42,1,1,64.4725
Labrador Retriever,double,short,large,high,medium,0.2,0.75,0.55,1,0.9,Bath & Brush Only,rainy,600.0,0.2,0.9,0.0,1,0.88,1,1,99.0
Labrador Retriever,double,short,large,high,medium,0.2,0.75,0.55,1,0.9,Bath & Brush Only,dry,600.0,0.2,0.78,0.0,1,0.88,1,1,99.0
Labrador Retriever,double,short,large,high,medium,0.2,0.75,0.55,1,0.9,De-shedding Treatment,rainy,700.0,0.3,0.92,0.05,1,0.9,1,1,99.0
Labrador Retriever,double,short,large,high,medium,0.2,0.75,0.55,1,0.9,De-shedding Treatment,dry,700.0,0.3,0.9,0.05,1,0.9,1,1,99.0
Golden Retriever,double,long,large,high,high,0.75,0.8,0.75,1,0.95,Puppy Cut,rainy,800.0,0.35,0.82,0.65,1,0.82,0,0,20.182499999999997
Golden Retriever,double,long,large,high,high,0.75,0.8,0.75,1,0.95,Puppy Cut,dry,800.0,0.35,0.78,0.65,1,0.82,0,0,18.268
Golden Retriever,double,long,large,high,high,0.75,0.8,0.75,1,0.95,Teddy Bear Cut,rainy,800.0,0.65,0.58,0.55,1,0.78,0,0,5.067499999999999
Golden Retriever,double,long,large,high,high,0.75,0.8,0.75,1,0.95,Teddy Bear Cut,dry,800.0,0.65,0.62,0.55,1,0.78,0,0,6.571999999999999
Golden Retriever,double,long,large,high,high,0.75,0.8,0.75,1,0.95,Feathered Trim,rainy,1100.0,0.78,0.42,0.25,1,0.64,1,1,69.395
Golden Retriever,double,long,large,high,high,0.75,0.8,0.75,1,0.95,Feathered Trim,dry,1100.0,0.78,0.55,0.25,1,0.64,1,1,73.65
Golden Retriever,double,long,large,high,high,0.75,0.8,0.75,1,0.95,Lamb Cut,rainy,800.0,0.58,0.52,0.6,1,0.68,0,1,20.465000000000003
Golden Retriever,double,long,large,high,high,0.75,0.8,0.75,1,0.95,Lamb Cut,dry,800.0,0.58,0.6,0.6,1,0.68,0,1,22.200000000000003
Golden Retriever,double,long,large,high,high,0.75,0.8,0.75,1,0.95,Lion Cut,rainy,1200.0,0.72,0.4,0.85,0,0.5,0,1,5.0
Golden Retriever,double,long,large,high,high,0.75,0.8,0.75,1,0.95,Lion Cut,dry,1200.0,0.72,0.48,0.85,0,0.5,0,1,5.0
Golden Retriever,double,long,large,high,high,0.75,0.8,0.75,1,0.95,Summer Cut,rainy,750.0,0.25,0.48,0.9,0,0.74,0,1,5.0
Golden Retriever,double,long,large,high,high,0.75,0.8,0.75,1,0.95,Summer Cut,dry,750.0,0.25,0.88,0.9,0,0.74,0,1,5.0
Golden Retriever,double,long,large,high,high,0.75,0.8,0.75,1,0.95,Sanitary Trim,rainy,800.0,0.18,0.95,0.2,1,0.85,1,1,99.0
Golden Retriever,double,long,large,high,high,0.75,0.8,0.75,1,0.95,Sanitary Trim,dry,800.0,0.18,0.82,0.2,1,0.85,1,1,93.252
Golden Retriever,double,long,large,high,high,0.75,0.8,0.75,1,0.95,Show Cut,rainy,1500.0,0.95,0.32,0.45,1,0.42,1,1,59.5325
Golden Retriever,double,long,large,high,high,0.75,0.8,0.75,1,0.95,Show Cut,dry,1500.0,0.95,0.45,0.45,1,0.42,1,1,64.63
Golden Retriever,double,long,large,high,high,0.75,0.8,0.75,1,0.95,Bath & Brush Only,rainy,600.0,0.2,0.9,0.0,1,0.88,1,1,99.0
Golden Retriever,double,long,large,high,high,0.75,0.8,0.75,1,0.95,Bath & Brush Only,dry,600.0,0.2,0.78,0.0,1,0.88,1,1,99.0
Golden Retriever,double,long,large,high,high,0.75,0.8,0.75,1,0.95,De-shedding Treatment,rainy,700.0,0.3,0.92,0.05,1,0.9,1,1,99.0
Golden Retriever,double,long,large,high,high,0.75,0.8,0.75,1,0.95,De-shedding Treatment,dry,700.0,0.3,0.9,0.05,1,0.9,1,1,99.0
German Shepherd,double,medium,large,high,medium,0.55,0.8,0.65,1,0.95,Puppy Cut,rainy,800.0,0.35,0.82,0.65,1,0.82,0,0,13.467499999999998
German Shepherd,double,medium,large,high,medium,0.55,0.8,0.65,1,0.95,Puppy Cut,dry,800.0,0.35,0.78,0.65,1,0.82,0,0,12.267999999999999
German Shepherd,double,medium,large,high,medium,0.55,0.8,0.65,1,0.95,Teddy Bear Cut,rainy,800.0,0.65,0.58,0.55,1,0.78,0,0,5.0
German Shepherd,double,medium,large,high,medium,0.55,0.8,0.65,1,0.95,Teddy Bear Cut,dry,800.0,0.65,0.62,0.55,1,0.78,0,0,6.571999999999999
German Shepherd,double,medium,large,high,medium,0.55,0.8,0.65,1,0.95,Feathered Trim,rainy,1100.0,0.78,0.42,0.25,1,0.64,1,1,69.15299999999999
German Shepherd,double,medium,large,high,medium,0.55,0.8,0.65,1,0.95,Feathered Trim,dry,1100.0,0.78,0.55,0.25,1,0.64,1,1,73.65
German Shepherd,double,medium,large,high,medium,0.55,0.8,0.65,1,0.95,Lamb Cut,rainy,800.0,0.58,0.52,0.6,1,0.68,0,1,20.003000000000004
German Shepherd,double,medium,large,high,medium,0.55,0.8,0.65,1,0.95,Lamb Cut,dry,800.0,0.58,0.6,0.6,1,0.68,0,1,22.200000000000003
German Shepherd,double,medium,large,high,medium,0.55,0.8,0.65,1,0.95,Lion Cut,rainy,1200.0,0.72,0.4,0.85,0,0.5,0,1,5.0
German Shepherd,double,medium,large,high,medium,0.55,0.8,0.65,1,0.95,Lion Cut,dry,1200.0,0.72,0.48,0.85,0,0.5,0,1,5.0
German Shepherd,double,medium,large,high,medium,0.55,0.8,0.65,1,0.95,Summer Cut,rainy,750.0,0.25,0.48,0.9,0,0.74,0,1,5.0
German Shepherd,double,medium,large,high,medium,0.55,0.8,0.65,1,0.95,Summer Cut,dry,750.0,0.25,0.88,0.9,0,0.74,0,1,5.0
German Shepherd,double,medium,large,high,medium,0.55,0.8,0.65,1,0.95,Sanitary Trim,rainy,800.0,0.18,0.95,0.2,1,0.85,1,1,97.01299999999999
German Shepherd,double,medium,large,high,medium,0.55,0.8,0.65,1,0.95,Sanitary Trim,dry,800.0,0.18,0.82,0.2,1,0.85,1,1,87.252
German Shepherd,double,medium,large,high,medium,0.55,0.8,0.65,1,0.95,Show Cut,rainy,1500.0,0.95,0.32,0.45,1,0.42,1,1,59.4775
German Shepherd,double,medium,large,high,medium,0.55,0.8,0.65,1,0.95,Show Cut,dry,1500.0,0.95,0.45,0.45,1,0.42,1,1,64.63
German Shepherd,double,medium,large,high,medium,0.55,0.8,0.65,1,0.95,Bath & Brush Only,rainy,600.0,0.2,0.9,0.0,1,0.88,1,1,99.0
German Shepherd,double,medium,large,high,medium,0.55,0.8,0.65,1,0.95,Bath & Brush Only,dry,600.0,0.2,0.78,0.0,1,0.88,1,1,99.0
German Shepherd,double,medium,large,high,medium,0.55,0.8,0.65,1,0.95,De-shedding Treatment,rainy,700.0,0.3,0.92,0.05,1,0.9,1,1,99.0
German Shepherd,double,medium,large,high,medium,0.55,0.8,0.65,1,0.95,De-shedding Treatment,dry,700.0,0.3,0.9,0.05,1,0.9,1,1,99.0
Siberian Husky,double,medium,large,high,high,0.6,0.95,0.7,1,1.0,Puppy Cut,rainy,800.0,0.35,0.82,0.65,1,0.82,0,0,13.824999999999996
Siberian Husky,double,medium,large,high,high,0.6,0.95,0.7,1,1.0,Puppy Cut,dry,800.0,0.35,0.78,0.65,1,0.82,0,0,13.087
Siberian Husky,double,medium,large,high,high,0.6,0.95,0.7,1,1.0,Teddy Bear Cut,rainy,800.0,0.65,0.58,0.55,1,0.78,0,0,5.0
Siberian Husky,double,medium,large,high,high,0.6,0.95,0.7,1,1.0,Teddy Bear Cut,dry,800.0,0.65,0.62,0.55,1,0.78,0,0,7.222999999999999
Siberian Husky,double,medium,large,high,high,0.6,0.95,0.7,1,1.0,Feathered Trim,rainy,1100.0,0.78,0.42,0.25,1,0.64,1,1,69.274
Siberian Husky,double,medium,large,high,high,0.6,0.95,0.7,1,1.0,Feathered Trim,dry,1100.0,0.78,0.55,0.25,1,0.64,1,1,74.2275
Siberian Husky,double,medium,large,high,high,0.6,0.95,0.7,1,1.0,Lamb Cut,rainy,800.0,0.58,0.52,0.6,1,0.68,0,1,20.234
Siberian Husky,double,medium,large,high,high,0.6,0.95,0.7,1,1.0,Lamb Cut,dry,800.0,0.58,0.6,0.6,1,0.68,0,1,22.830000000000002
Siberian Husky,double,medium,large,high,high,0.6,0.95,0.7,1,1.0,Lion Cut,rainy,1200.0,0.72,0.4,0.85,0,0.5,0,1,5.0
Siberian Husky,double,medium,large,high,high,0.6,0.95,0.7,1,1.0,Lion Cut,dry,1200.0,0.72,0.48,0.85,0,0.5,0,1,5.0
Siberian Husky,double,medium,large,high,high,0.6,0.95,0.7,1,1.0,Summer Cut,rainy,750.0,0.25,0.48,0.9,0,0.74,0,1,5.0
Siberian Husky,double,medium,large,high,high,0.6,0.95,0.7,1,1.0,Summer Cut,dry,750.0,0.25,0.88,0.9,0,0.74,0,1,5.0
Siberian Husky,double,medium,large,high,high,0.6,0.95,0.7,1,1.0,Sanitary Trim,rainy,800.0,0.18,0.95,0.2,1,0.85,1,1,97.96399999999998
Siberian Husky,double,medium,large,high,high,0.6,0.95,0.7,1,1.0,Sanitary Trim,dry,800.0,0.18,0.82,0.2,1,0.85,1,1,88.113
Siberian Husky,double,medium,large,high,high,0.6,0.95,0.7,1,1.0,Show Cut,rainy,1500.0,0.95,0.32,0.45,1,0.42,1,1,59.504999999999995
Siberian Husky,double,medium,large,high,high,0.6,0.95,0.7,1,1.0,Show Cut,dry,1500.0,0.95,0.45,0.45,1,0.42,1,1,65.10249999999999
Siberian Husky,double,medium,large,high,high,0.6,0.95,0.7,1,1.0,Bath & Brush Only,rainy,600.0,0.2,0.9,0.0,1,0.88,1,1,99.0
Siberian Husky,double,medium,large,high,high,0.6,0.95,0.7,1,1.0,Bath & Brush Only,dry,600.0,0.2,0.78,0.0,1,0.88,1,1,99.0
Siberian Husky,double,medium,large,high,high,0.6,0.95,0.7,1,1.0,De-shedding Treatment,rainy,700.0,0.3,0.92,0.05,1,0.9,1,1,99.0
Siberian Husky,double,medium,large,high,high,0.6,0.95,0.7,1,1.0,De-shedding Treatment,dry,700.0,0.3,0.9,0.05,1,0.9,1,1,99.0
Chow Chow,double,long,large,high,high,0.9,0.95,0.8,1,1.0,Puppy Cut,rainy,800.0,0.35,0.82,0.65,1,0.82,0,0,21.74
Chow Chow,double,long,large,high,high,0.9,0.95,0.8,1,1.0,Puppy Cut,dry,800.0,0.35,0.78,0.65,1,0.82,0,0,20.287
Chow Chow,double,long,large,high,high,0.9,0.95,0.8,1,1.0,Teddy Bear Cut,rainy,800.0,0.65,0.58,0.55,1,0.78,0,0,5.26
Chow Chow,double,long,large,high,high,0.9,0.95,0.8,1,1.0,Teddy Bear Cut,dry,800.0,0.65,0.62,0.55,1,0.78,0,0,7.222999999999999
Chow Chow,double,long,large,high,high,0.9,0.95,0.8,1,1.0,Feathered Trim,rainy,1100.0,0.78,0.42,0.25,1,0.64,1,1,69.51599999999999
Chow Chow,double,long,large,high,high,0.9,0.95,0.8,1,1.0,Feathered Trim,dry,1100.0,0.78,0.55,0.25,1,0.64,1,1,74.2275
Chow Chow,double,long,large,high,high,0.9,0.95,0.8,1,1.0,Lamb Cut,rainy,800.0,0.58,0.52,0.6,1,0.68,0,1,20.696000000000005
Chow Chow,double,long,large,high,high,0.9,0.95,0.8,1,1.0,Lamb Cut,dry,800.0,0.58,0.6,0.6,1,0.68,0,1,22.830000000000002
Chow Chow,double,long,large,high,high,0.9,0.95,0.8,1,1.0,Lion Cut,rainy,1200.0,0.72,0.4,0.85,0,0.5,0,1,5.0
Chow Chow,double,long,large,high,high,0.9,0.95,0.8,1,1.0,Lion Cut,dry,1200.0,0.72,0.48,0.85,0,0.5,0,1,5.0
Chow Chow,double,long,large,high,high,0.9,0.95,0.8,1,1.0,Summer Cut,rainy,750.0,0.25,0.48,0.9,0,0.74,0,1,5.0
Chow Chow,double,long,large,high,high,0.9,0.95,0.8,1,1.0,Summer Cut,dry,750.0,0.25,0.88,0.9,0,0.74,0,1,5.0
Chow Chow,double,long,large,high,high,0.9,0.95,0.8,1,1.0,Sanitary Trim,rainy,800.0,0.18,0.95,0.2,1,0.85,1,1,99.0
Chow Chow,double,long,large,high,high,0.9,0.95,0.8,1,1.0,Sanitary Trim,dry,800.0,0.18,0.82,0.2,1,0.85,1,1,95.313
Chow Chow,double,long,large,high,high,0.9,0.95,0.8,1,1.0,Show Cut,rainy,1500.0,0.95,0.32,0.45,1,0.42,1,1,59.559999999999995
Chow Chow,double,long,large,high,high,0.9,0.95,0.8,1,1.0,Show Cut,dry,1500.0,0.95,0.45,0.45,1,0.42,1,1,65.10249999999999
Chow Chow,double,long,large,high,high,0.9,0.95,0.8,1,1.0,Bath & Brush Only,rainy,600.0,0.2,0.9,0.0,1,0.88,1,1,99.0
Chow Chow,double,long,large,high,high,0.9,0.95,0.8,1,1.0,Bath & Brush Only,dry,600.0,0.2,0.78,0.0,1,0.88,1,1,99.0
Chow Chow,double,long,large,high,high,0.9,0.95,0.8,1,1.0,De-shedding Treatment,rainy,700.0,0.3,0.92,0.05,1,0.9,1,1,99.0
Chow Chow,double,long,large,high,high,0.9,0.95,0.8,1,1.0,De-shedding Treatment,dry,700.0,0.3,0.9,0.05,1,0.9,1,1,99.0
Samoyed,double,long,large,high,high,0.9,0.95,0.8,1,1.0,Puppy Cut,rainy,800.0,0.35,0.82,0.65,1,0.82,0,0,21.74
Samoyed,double,long,large,high,high,0.9,0.95,0.8,1,1.0,Puppy Cut,dry,800.0,0.35,0.78,0.65,1,0.82,0,0,20.287
Samoyed,double,long,large,high,high,0.9,0.95,0.8,1,1.0,Teddy Bear Cut,rainy,800.0,0.65,0.58,0.55,1,0.78,0,0,5.26
Samoyed,double,long,large,high,high,0.9,0.95,0.8,1,1.0,Teddy Bear Cut,dry,800.0,0.65,0.62,0.55,1,0.78,0,0,7.222999999999999
Samoyed,double,long,large,high,high,0.9,0.95,0.8,1,1.0,Feathered Trim,rainy,1100.0,0.78,0.42,0.25,1,0.64,1,1,69.51599999999999
Samoyed,double,long,large,high,high,0.9,0.95,0.8,1,1.0,Feathered Trim,dry,1100.0,0.78,0.55,0.25,1,0.64,1,1,74.2275
Samoyed,double,long,large,high,high,0.9,0.95,0.8,1,1.0,Lamb Cut,rainy,800.0,0.58,0.52,0.6,1,0.68,0,1,20.696000000000005
Samoyed,double,long,large,high,high,0.9,0.95,0.8,1,1.0,Lamb Cut,dry,800.0,0.58,0.6,0.6,1,0.68,0,1,22.830000000000002
Samoyed,double,long,large,high,high,0.9,0.95,0.8,1,1.0,Lion Cut,rainy,1200.0,0.72,0.4,0.85,0,0.5,0,1,5.0
Samoyed,double,long,large,high,high,0.9,0.95,0.8,1,1.0,Lion Cut,dry,1200.0,0.72,0.48,0.85,0,0.5,0,1,5.0
Samoyed,double,long,large,high,high,0.9,0.95,0.8,1,1.0,Summer Cut,rainy,750.0,0.25,0.48,0.9,0,0.74,0,1,5.0
Samoyed,double,long,large,high,high,0.9,0.95,0.8,1,1.0,Summer Cut,dry,750.0,0.25,0.88,0.9,0,0.74,0,1,5.0
Samoyed,double,long,large,high,high,0.9,0.95,0.8,1,1.0,Sanitary Trim,rainy,800.0,0.18,0.95,0.2,1,0.85,1,1,99.0
Samoyed,double,long,large,high,high,0.9,0.95,0.8,1,1.0,Sanitary Trim,dry,800.0,0.18,0.82,0.2,1,0.85,1,1,95.313
Samoyed,double,long,large,high,high,0.9,0.95,0.8,1,1.0,Show Cut,rainy,1500.0,0.95,0.32,0.45,1,0.42,1,1,59.559999999999995
Samoyed,double,long,large,high,high,0.9,0.95,0.8,1,1.0,Show Cut,dry,1500.0,0.95,0.45,0.45,1,0.42,1,1,65.10249999999999
Samoyed,double,long,large,high,high,0.9,0.95,0.8,1,1.0,Bath & Brush Only,rainy,600.0,0.2,0.9,0.0,1,0.88,1,1,99.0
Samoyed,double,long,large,high,high,0.9,0.95,0.8,1,1.0,Bath & Brush Only,dry,600.0,0.2,0.78,0.0,1,0.88,1,1,99.0
Samoyed,double,long,large,high,high,0.9,0.95,0.8,1,1.0,De-shedding Treatment,rainy,700.0,0.3,0.92,0.05,1,0.9,1,1,99.0
Samoyed,double,long,large,high,high,0.9,0.95,0.8,1,1.0,De-shedding Treatment,dry,700.0,0.3,0.9,0.05,1,0.9,1,1,99.0
Pembroke Welsh Corgi,double,medium,medium,high,medium,0.45,0.8,0.6,1,0.95,Puppy Cut,rainy,800.0,0.35,0.82,0.65,1,0.82,0,1,32.11
Pembroke Welsh Corgi,double,medium,medium,high,medium,0.45,0.8,0.6,1,0.95,Puppy Cut,dry,800.0,0.35,0.78,0.65,1,0.82,0,1,31.268
Pembroke Welsh Corgi,double,medium,medium,high,medium,0.45,0.8,0.6,1,0.95,Teddy Bear Cut,rainy,800.0,0.65,0.58,0.55,1,0.78,0,1,23.49
Pembroke Welsh Corgi,double,medium,medium,high,medium,0.45,0.8,0.6,1,0.95,Teddy Bear Cut,dry,800.0,0.65,0.62,0.55,1,0.78,0,1,25.572000000000003
Pembroke Welsh Corgi,double,medium,medium,high,medium,0.45,0.8,0.6,1,0.95,Feathered Trim,rainy,1100.0,0.78,0.42,0.25,1,0.64,1,1,69.032
Pembroke Welsh Corgi,double,medium,medium,high,medium,0.45,0.8,0.6,1,0.95,Feathered Trim,dry,1100.0,0.78,0.55,0.25,1,0.64,1,1,73.65
Pembroke Welsh Corgi,double,medium,medium,high,medium,0.45,0.8,0.6,1,0.95,Lamb Cut,rainy,800.0,0.58,0.52,0.6,1,0.68,0,1,19.772000000000006
Pembroke Welsh Corgi,double,medium,medium,high,medium,0.45,0.8,0.6,1,0.95,Lamb Cut,dry,800.0,0.58,0.6,0.6,1,0.68,0,1,22.200000000000003
Pembroke Welsh Corgi,double,medium,medium,high,medium,0.45,0.8,0.6,1,0.95,Lion Cut,rainy,1200.0,0.72,0.4,0.85,0,0.5,0,1,5.0
Pembroke Welsh Corgi,double,medium,medium,high,medium,0.45,0.8,0.6,1,0.95,Lion Cut,dry,1200.0,0.72,0.48,0.85,0,0.5,0,1,5.0
Pembroke Welsh Corgi,double,medium,medium,high,medium,0.45,0.8,0.6,1,0.95,Summer Cut,rainy,750.0,0.25,0.48,0.9,0,0.74,0,1,5.0
Pembroke Welsh Corgi,double,medium,medium,high,medium,0.45,0.8,0.6,1,0.95,Summer Cut,dry,750.0,0.25,0.88,0.9,0,0.74,0,1,5.0
Pembroke Welsh Corgi,double,medium,medium,high,medium,0.45,0.8,0.6,1,0.95,Sanitary Trim,rainy,800.0,0.18,0.95,0.2,1,0.85,1,1,95.562
Pembroke Welsh Corgi,double,medium,medium,high,medium,0.45,0.8,0.6,1,0.95,Sanitary Trim,dry,800.0,0.18,0.82,0.2,1,0.85,1,1,87.252
Pembroke Welsh Corgi,double,medium,medium,high,medium,0.45,0.8,0.6,1,0.95,Show Cut,rainy,1500.0,0.95,0.32,0.45,1,0.42,1,1,59.449999999999996
Pembroke Welsh Corgi,double,medium,medium,high,medium,0.45,0.8,0.6,1,0.95,Show Cut,dry,1500.0,0.95,0.45,0.45,1,0.42,1,1,64.63
Pembroke Welsh Corgi,double,medium,medium,high,medium,0.45,0.8,0.6,1,0.95,Bath & Brush Only,rainy,600.0,0.2,0.9,0.0,1,0.88,1,1,99.0
Pembroke Welsh Corgi,double,medium,medium,high,medium,0.45,0.8,0.6,1,0.95,Bath & Brush Only,dry,600.0,0.2,0.78,0.0,1,0.88,1,1,99.0
Pembroke Welsh Corgi,double,medium,medium,high,medium,0.45,0.8,0.6,1,0.95,De-shedding Treatment,rainy,700.0,0.3,0.92,0.05,1,0.9,1,1,99.0
Pembroke Welsh Corgi,double,medium,medium,high,medium,0.45,0.8,0.6,1,0.95,De-shedding Treatment,dry,700.0,0.3,0.9,0.05,1,0.9,1,1,99.0
Pomeranian,double,long,small,medium,high,0.85,0.9,0.8,1,1.0,Puppy Cut,rainy,800.0,0.35,0.82,0.65,1,0.82,0,1,40.339999999999996
Pomeranian,double,long,small,medium,high,0.85,0.9,0.8,1,1.0,Puppy Cut,dry,800.0,0.35,0.78,0.65,1,0.82,0,1,38.614
Pomeranian,double,long,small,medium,high,0.85,0.9,0.8,1,1.0,Teddy Bear Cut,rainy,800.0,0.65,0.58,0.55,1,0.78,0,1,24.259999999999998
Pomeranian,double,long,small,medium,high,0.85,0.9,0.8,1,1.0,Teddy Bear Cut,dry,800.0,0.65,0.62,0.55,1,0.78,0,1,26.006
Pomeranian,double,long,small,medium,high,0.85,0.9,0.8,1,1.0,Feathered Trim,rainy,1100.0,0.78,0.42,0.25,1,0.64,1,0,50.516
Pomeranian,double,long,small,medium,high,0.85,0.9,0.8,1,1.0,Feathered Trim,dry,1100.0,0.78,0.55,0.25,1,0.64,1,0,55.035000000000004
Pomeranian,double,long,small,medium,high,0.85,0.9,0.8,1,1.0,Lamb Cut,rainy,800.0,0.58,0.52,0.6,1,0.68,0,1,20.696000000000005
Pomeranian,double,long,small,medium,high,0.85,0.9,0.8,1,1.0,Lamb Cut,dry,800.0,0.58,0.6,0.6,1,0.68,0,1,22.620000000000005
Pomeranian,double,long,small,medium,high,0.85,0.9,0.8,1,1.0,Lion Cut,rainy,1200.0,0.72,0.4,0.85,0,0.5,0,1,5.0
Pomeranian,double,long,small,medium,high,0.85,0.9,0.8,1,1.0,Lion Cut,dry,1200.0,0.72,0.48,0.85,0,0.5,0,1,5.0
